Team,Team Name,Event,OPR,Auto OPR,Auto Cones,Auto Nav,TeleOp OPR,TeleOp Cones,TeleOp Junctions,EndGame OPR,Junctions Owned,Circuits
16757,Primum Optimus,Georgia GA Etowah Meet 3 11/12/22,2.5,0.0,0.0,0.0,2.5,0.5,0.5,0.0,0.2,0.0
15419,Inditrons,Georgia GA Albany Meet 2 11/12/22,5.2,0.8,0.0,0.9,2.4,0.1,0.0,2.0,0.0,0.0
16796,Red Robodragons,Georgia GA Jackson Meet 1 11/12/22,3.2,0.0,0.0,0.0,1.2,0.4,0.3,1.9,0.4,0.0
15522,RoboElite,Georgia GA Albany Meet 2 11/12/22,6.2,0.0,0.0,0.0,2.7,0.1,0.3,3.5,0.4,0.0
16436,G.L.A.M Squad,Georgia GA Albany Meet 2 11/12/22,3.9,0.4,0.0,0.4,1.3,0.0,0.0,2.2,0.0,0.0
8433,CyberStingers Green,Georgia GA Albany Meet 2 11/12/22,5.2,0.8,0.0,0.5,4.4,0.7,0.5,0.0,0.4,0.0
7153,Vindicem,Georgia GA Etowah Meet 3 11/12/22,10.9,0.0,0.0,0.0,2.0,0.8,1.6,8.9,2.0,0.0
16313,Pebblebrook Rookies,Georgia GA Marietta Meet 2 11/12/22,1.1,0.0,0.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0
16344,Walker - Bob The Builder,Georgia GA Atlanta Meet 3 11/12/22,2.0,0.1,0.0,0.7,2.0,0.3,0.0,0.0,0.1,0.0
19751,Empower 2,Georgia GA Jackson Meet 2 11/12/22,3.3,0.0,0.0,0.0,0.0,0.2,1.1,3.3,0.8,0.0
14943,Weber RamBots,Georgia GA Atlanta Meet 3 11/12/22,2.1,2.1,0.0,2.0,0.0,0.0,0.6,0.0,0.5,0.0
22,100 Scholars,Georgia GA Atlanta Meet 3 11/12/22,0.8,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11750,Bellatorum,Georgia GA Etowah Meet 2 11/12/22,4.6,0.0,0.0,0.0,3.6,0.1,0.0,1.0,0.3,0.0
22581,Technologically Driven,Georgia GA Marietta Meet 2 11/12/22,5.6,5.6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
19751,Empower 2,Georgia GA Jackson Meet 1 11/12/22,8.9,0.0,0.0,0.0,2.9,0.7,1.4,6.1,1.4,0.0
18560,Warbotics - 1655,Georgia GA Atlanta Meet 3 11/12/22,2.3,0.0,0.0,0.0,1.0,0.1,0.6,1.3,0.5,0.0
18014,Empower 1,Georgia GA Jackson Meet 1 11/12/22,0.9,0.9,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
21184,Walton Robotics - Blue,Georgia GA Marietta Meet 2 11/12/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14165,Pebblebrook OG Team,Georgia GA Marietta Meet 2 11/12/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
